id,payment,date,value,clientID,funcID
1,Cartão de Crédito,2022-03-11,19.88,1,5
2,Numerário,2022-03-11,13.51,4,4
3,Numerário,2022-03-11,14.61,15,4
4,Numerário,2022-03-11,4.77,7,4
5,Cartão de Crédito,2022-03-12,4.47,9,5
6,Numerário,2022-03-12,7.95,11,4
7,Cartão de Crédito,2022-03-12,19.67,2,4
8,Numerário,2022-03-12,9.74,11,5
9,Numerário,2022-03-12,6.76,3,5
10,Cartão de Crédito,2022-03-12,7.95,13,4
11,Cartão de Crédito,2022-03-12,19.78,14,4
12,Numerário,2022-03-13,20.07,8,4
13,Cartão de Crédito,2022-03-13,12.82,5,5
14,Numerário,2022-03-13,14.8,10,4
15,Cartão de Crédito,2022-03-13,13.91,6,5
16,Cartão de Crédito,2022-03-13,5.07,12,5
17,Numerário,2022-03-13,1.59,1,4
18,Numerário,2022-03-13,19.18,4,4
19,Numerário,2022-03-14,8.65,9,5
20,Cartão de Crédito,2022-03-14,6.36,11,4
21,Numerário,2022-03-14,8.45,12,5
