idCompra,idDonut,quantity,price
1,7,4,1.79
1,18,1,1.59
1,3,2,1.59
1,14,5,1.59
2,5,3,1.49
2,16,1,1.59
2,20,5,1.49
3,9,3,1.69
3,13,2,1.39
3,11,4,1.69
4,1,1,1.79
4,19,2,1.49
5,6,3,1.49
6,15,5,1.59
7,8,4,1.69
7,10,1,1.69
7,2,3,1.59
7,4,5,1.29
8,12,2,1.69
8,17,4,1.59
9,9,1,1.69
9,8,3,1.69
10,3,5,1.59
11,6,2,1.49
11,20,1,1.49
11,11,4,1.69
11,7,3,1.79
11,16,2,1.59
12,14,5,1.59
12,1,1,1.79
12,13,4,1.39
12,15,3,1.59
13,10,2,1.69
13,5,1,1.49
13,2,5,1.59
14,19,4,1.49
14,4,3,1.29
14,12,2,1.69
14,18,1,1.59
15,17,5,1.59
15,20,4,1.49
16,11,3,1.69
17,3,1,1.59
18,14,2,1.59
18,1,5,1.79
18,13,4,1.39
18,19,1,1.49
19,9,3,1.69
19,7,2,1.79
20,15,4,1.59
21,10,5,1.69
